Wavelength (nm),Transmission (fraction)
354.9,0.05
374.5,0.04
394.0,0.03
427.8,0.03
452.4,0.05
475.6,0.08
482.6,0.10
497.2,0.13
504.1,0.13
510.5,0.11
529.6,0.09
562.1,0.08
590.6,0.07
620.3,0.06
649.4,0.07
678.8,0.10
698.6,0.13
711.8,0.18
721.0,0.21
730.3,0.26
740.8,0.31
750.1,0.36
755.4,0.39
761.8,0.41
765.3,0.43
770.6,0.45
774.1,0.47
781.8,0.49
798.9,0.53
824.2,0.56
854.9,0.55
885.9,0.53
908.7,0.50
929.3,0.46
951.7,0.42
973.6,0.38
1006.7,0.36
1035.5,0.36
1065.6,0.36
1087.9,0.36
1118.9,0.35
1150.3,0.34
1180.1,0.32
1205.9,0.33
1228.5,0.37
1254.7,0.40
1275.7,0.43
1294.1,0.45
1320.0,0.47
1338.5,0.49
1356.0,0.48
1381.1,0.46
1412.9,0.43
1445.1,0.43
1473.4,0.46
1505.2,0.49
1533.7,0.50
1562.4,0.51
1592.0,0.51
1608.6,0.52
1630.1,0.51
1643.4,0.49
1652.3,0.48
1662.5,0.46
1672.1,0.44
1685.1,0.44
1686.8,0.43
1692.8,0.40
