Wavelength (nm),Transmission (%)
145.6,0.27
168.4,4.08
175.2,8.11
180.0,9.48
183.5,12.73
188.9,14.15
196.0,17.46
201.3,18.92
213.8,22.40
221.8,23.68
238.7,27.33
246.7,28.60
265.4,32.22
274.3,33.44
298.4,36.94
308.1,38.11
342.0,41.81
355.3,43.01
398.0,46.36
413.2,47.24
460.3,49.42
477.3,49.90
529.8,50.87
545.8,50.87
593.9,51.07
609.9,51.05
659.7,50.36
675.7,50.36
725.6,49.92
741.6,49.71
793.2,48.95
810.1,48.62
859.1,47.62
875.1,47.47
924.9,46.45
941.0,46.15
976.6,45.63
993.5,45.46
1042.4,44.51
1058.5,44.30
1108.3,43.65
1124.3,43.65
1174.2,42.95
1190.2,42.95
1241.8,42.23
1257.8,42.23
1307.7,41.85
1323.7,41.85
1371.8,41.34
1388.7,41.33
1437.6,41.15
1453.6,41.12
1507.0,40.64
1523.1,40.43
1571.1,39.82
1588.0,40.04
1637.0,40.29
1653.0,40.22
1702.8,40.01
1718.9,39.47
1758.0,38.24
1774.1,38.23
1823.9,37.98
1839.9,37.98
1889.8,37.98
1905.8,37.96
1953.8,37.73
1969.9,37.71
2023.3,37.72
2039.3,37.71
2089.1,36.82
2105.2,36.82
2153.2,37.59
2169.2,37.56
2219.1,37.29
2235.1,37.07
2286.7,36.86
2303.6,37.07
2352.6,37.13
2368.6,36.72
2418.4,37.12
2432.7,37.68
2473.6,37.62
2482.4,37.94
2491.2,38.58
