Wavelength (nm) ,Transmission (fraction)
352.3,0.69
355.1,0.71
356.1,0.73
356.9,0.72
360.0,0.75
361.3,0.76
366.6,0.78
375.8,0.80
387.7,0.81
403.4,0.80
430.4,0.80
457.4,0.79
473.8,0.79
484.5,0.79
511.5,0.78
538.5,0.77
550.8,0.77
565.5,0.77
581.5,0.78
592.6,0.78
619.6,0.77
646.6,0.78
664.6,0.79
673.6,0.78
686.2,0.77
700.6,0.76
727.7,0.75
754.7,0.75
780.5,0.74
806.3,0.72
833.3,0.71
860.3,0.70
887.3,0.71
914.4,0.70
941.4,0.69
968.4,0.68
995.4,0.67
1022.5,0.67
1049.5,0.67
1076.5,0.67
1103.5,0.66
1130.5,0.66
1157.6,0.65
1184.6,0.64
1211.6,0.64
1238.6,0.63
1265.7,0.62
1292.7,0.62
1319.7,0.62
1346.7,0.61
1373.7,0.61
1400.8,0.60
1427.8,0.60
1454.8,0.59
1481.8,0.58
1508.8,0.57
1535.9,0.56
1562.9,0.55
1589.9,0.54
1616.9,0.53
1644.0,0.53
1671.0,0.52
1698.0,0.51
1725.0,0.50
1752.0,0.50
1779.1,0.49
1804.0,0.47
1814.9,0.46
1840.5,0.46
1855.4,0.45
1867.5,0.45
1867.7,0.46
1894.5,0.45
1895.4,0.45
1907.7,0.44
1921.5,0.44
1932.3,0.43
1948.6,0.43
1950.8,0.44
1963.1,0.42
1975.6,0.42
1990.8,0.41
2002.6,0.41
2017.4,0.41
2056.7,0.39
2073.8,0.39
2083.7,0.38
2101.5,0.38
2110.7,0.37
2123.1,0.36
2137.7,0.36
2164.7,0.35
2189.3,0.34
