Wavelength (nm),Transmission (fraction)
308.7,0.02
320.3,0.02
331.7,0.03
341.1,0.04
350.6,0.05
357.8,0.06
363.3,0.07
370.2,0.08
376.4,0.09
393.5,0.11
397.6,0.12
406.2,0.13
409.4,0.14
417.5,0.16
425.9,0.19
429.3,0.2
434.6,0.22
437.3,0.23
442,0.25
445.3,0.26
450.3,0.28
452.8,0.29
457.9,0.31
458.2,0.32
464.8,0.34
469.8,0.36
473.1,0.37
478.4,0.39
480.6,0.4
484.5,0.42
487,0.43
492.3,0.45
496.6,0.46
499.5,0.48
502,0.48
508.3,0.51
511.6,0.51
518.6,0.53
522.4,0.54
531.7,0.56
536.4,0.57
548.2,0.59
555.3,0.59
572,0.61
582.9,0.61
606.7,0.62
618.1,0.62
643.7,0.61
654.5,0.61
676.3,0.6
686.1,0.6
706.8,0.58
714.9,0.57
730.7,0.56
738.9,0.55
754.7,0.54
763.9,0.53
777.6,0.51
784.1,0.51
801.3,0.49
806.5,0.48
823.3,0.47
831.5,0.46
845.1,0.44
853.9,0.44
869.1,0.42
877.8,0.42
894.2,0.4
903.4,0.39
921.4,0.38
930.6,0.37
948.6,0.36
957.8,0.35
976.9,0.34
987.2,0.34
1007.3,0.33
1018.2,0.32
1041.1,0.31
1053.3,0.3
1068.8,0.3
1085.6,0.3
1110.6,0.29
1122.5,0.29
1148.6,0.29
1160.5,0.29
1186.6,0.29
1198,0.29
1223.5,0.29
1235.4,0.3
1260.3,0.3
1271.7,0.3
1296.1,0.31
1307,0.31
1329.7,0.32
1341.1,0.33
1365.5,0.33
1376.4,0.34
1402.4,0.35
1430.5,0.36
1440.3,0.37
1463.2,0.38
1470.6,0.38
1495.5,0.39
1505.8,0.4
1528,0.41
1538.3,0.41
1559.5,0.42
1569.8,0.43
1590.9,0.44
1601.2,0.44
1623.4,0.45
1633.7,0.46
1655.9,0.47
1666.2,0.47
1687.3,0.48
1697.6,0.49
1719.8,0.5
1731.2,0.5
1754.5,0.51
1764.8,0.52
1787,0.52
1798.4,0.53
1821.7,0.54
1832,0.54
1854.2,0.55
1865.6,0.55
1888.9,0.56
1900.3,0.57
1923.6,0.57
1934.4,0.58
1958.3,0.58
1969.7,0.59
1994.1,0.59
2005.5,0.6
2029.9,0.6
2040.7,0.61
2064.6,0.61
2075.9,0.62
2101.4,0.62
2113.4,0.62
2138.3,0.62
2150.3,0.62
2175.2,0.62
2187.2,0.63
2212.1,0.62
2223.5,0.62
2246.8,0.63
2257.1,0.64
2281.5,0.65
2292.9,0.65
2317.3,0.65
2328.7,0.65
2354.2,0.65
2365.6,0.65
