Wavelength (nm),Transmission (%)
426.3,88.49
482.0,86.56
533.0,82.99
579.6,79.29
625.3,75.29
665.1,71.73
707.5,68.26
760.6,64.19
819.0,60.96
877.4,58.43
935.8,56.83
994.1,55.42
1052.5,55.77
1110.9,56.23
1158.7,53.99
1206.4,50.93
1264.8,50.37
1312.6,47.78
1340.2,43.88
1361.7,39.47
1376.3,35.79
1386.9,31.81
1389.5,27.42
1401.9,22.69
1411.3,16.84
1418.7,12.77
1450.6,9.08
1509.0,9.70
1567.3,9.66
1625.7,9.91
1684.1,8.69
1742.5,5.64
1800.9,4.37
1859.2,3.12
1919.1,0.52
1980.4,0.31
2052.1,0.20
2114.0,0.33
2175.4,0.23
2238.4,0.31
2305.1,0.31
2350.6,0.40
2424.9,0.42
2472.2,0.28
